자치구,분류,시설명,주소,위도,경도,전화번호,종목,홈페이지,강습여부,실내/실외
종로구,체육관,종로문화체육센터,종로구 인왕산로1길 21,37.5742102,126.9646484,732-9392,수영 헬스 에어로빅 배드민턴 탁구 농구 축구 줄넘기 인라인스케이트 특공무술 복싱 체조 클라이밍 야구 ,http://www.ijongno.co.kr/front/main/41,유,실내
종로구,체육관,종로구민회관,종로구 지봉로5길 7-5,37.5734636,127.0143719,3672-2530,수영 헬스 에어로빅 배드민턴 탁구 검도 농구 줄넘기 인라인스케이트 국궁 스피닝 ,http://www.ijongno.co.kr/front/main/21,유,실내
종로구,체육관,올림픽기념국민생활관,종로구 성균관로 91,37.590434,126.9987747,745-6701,수영 헬스 에어로빅 배드민턴 탁구 검도 농구 줄넘기 인라인스케이트 역도 체조 야구 국궁 스피닝 골프,http://www.ijongno.co.kr/front/main/11,유,실내
종로구,체육관,동부여성문화센터,종로구 창신길 124,37.5768851,127.0098844,3675-5861,헬스 에어로빅,http://www.ijongno.co.kr/front/main/31,유,실내
종로구,체육관,청소년문화센터,종로구 명륜길?90 ,37.5906034,126.9933679,3675-1318 ,헬스,http://www.ijongno.co.kr/front/program/32/01,유,실내
종로구,국궁장,황학정 ,종로구 자하문로1길 56 ,37.577925,126.964215,723-6793,국궁,http://www.hwanghakjeong.org/,무,실외
종로구,배드민턴장,인왕배드민턴장,종로구 누상동 산1-38,37.5801935,126.9624337,2148-2835,배드민턴,-,무,실외
종로구,배드민턴장,무악배드민턴장,종로구 무악동 48,37.5778359,126.9583863,2148-2835,배드민턴,-,무,실외
종로구,배드민턴장,중앙배드민턴장,종로구 사직동 산1-9,37.5770359,126.9656769,2148-2835,배드민턴,-,무,실외
종로구,배드민턴장,숭인공원배드민턴장,종로구 숭인동 58-100,37.5768198,127.0180263,2148-2843,배드민턴,-,무,실외
종로구,배드민턴장,삼청공원배드민턴장,종로구 북촌로 134-3,37.5893704,126.9803132,2148-2842,배드민턴,-,무,실외
종로구,배드민턴장,와룡공원배드민턴장,종로구 와룡공원길 192,37.5897312,126.9871209,2148-2842,배드민턴,-,무,실외
